date,mean_sentiment
2021-02-05,-0.7325287158489228
2021-02-06,-0.7149603188633918
2021-02-07,-0.7246642115712166
2021-02-08,-0.7224424440264702
2021-02-09,-0.6683949235081673
2021-02-10,-0.7166696163415909
2021-02-13,-0.7840250009298324
2021-02-14,-0.7582622208595275
2021-02-15,-0.753601108431816
2021-02-18,-0.6876165648698807
2021-02-19,-0.7279937195777894
2021-02-22,-0.7598703545928002
2021-02-28,-0.7844375010132789
2021-03-11,-0.8012310071474945
2021-03-12,-0.7543557069897652
2021-04-05,-0.7624904355406761
2021-04-06,-0.7264284256100655
2021-04-07,-0.6199277056455612
2021-04-08,-0.673269037604332
2021-04-09,-0.7034778844118118
2021-04-10,-0.7285085816383362
2021-04-11,-0.676379053235054
2021-04-12,-0.7177730444669723
2021-04-17,-0.6490364579467086
2021-04-18,-0.8127387728095055
2021-04-19,-0.7915317437052727
2021-04-20,-0.8018406323194504
2021-04-21,-0.7769425912499428
2021-04-22,-0.7911648612022399
2021-04-23,-0.8059731124639511
2021-04-24,-0.7662006705403328
2021-05-25,-0.788274406015873
2021-05-26,-0.8218962595462799
2021-05-27,-0.775656078338623
2021-05-28,-0.8113949104547501
2021-05-29,-0.8122477542757988
2021-06-20,-0.4574893042445183
2021-06-21,-0.5295287423729896
2021-06-22,-0.5776888505220413
2021-06-23,-0.564818700671196
2021-07-02,-0.5389987535476685
2021-07-03,-0.42391784965991974
2021-07-04,-0.4888385884165764
2021-07-05,-0.43730997103452685
2021-07-16,-0.6500774666666984
2021-07-17,-0.5101116797327996
2021-07-18,-0.25659000158309936
2021-07-19,-0.4650443443655968
2021-07-20,-0.533439325273037
2021-07-21,-0.4918380565047264
2021-07-22,-0.37785713148117067
2021-07-23,-0.32890564781427384
2021-07-24,-0.4669825923442841
2021-07-25,-0.4937756903171539
2021-07-26,-0.6787087467908859
2021-07-27,-0.5795188999772072
2021-07-28,-0.5581223734021187
2021-07-29,-0.5275060299634934
2021-07-30,-0.5112495792508125
2021-08-04,-0.7142575228214264
2021-08-05,-0.6527786241173744
2021-08-06,-0.6530103629231453
2021-08-07,-0.6438342155814171
2021-08-08,-0.41970318752527236
2021-08-09,-0.4400197363495827
2021-08-14,-0.4704203553199768
2021-08-15,-0.378831868827343
2021-08-16,-0.4478258886933327
2021-08-17,-0.3807792312502861
2021-08-18,-0.3511147363781929
2021-08-19,-0.5050541970133782
2021-08-20,-0.4043178742527962
2021-08-21,-0.5080208682417869
2021-08-23,-0.4591288062930107
2021-08-24,-0.4532193964123726
2021-08-25,-0.4030420857667923
2021-08-26,-0.371478635430336
2021-09-10,-0.47276396852731706
2021-10-18,-0.5090339848995209
2021-10-19,-0.44428716218471526
2021-10-20,-0.5612676563858986
2021-10-21,-0.5033099052309989
2021-10-22,-0.464185655772686
2021-10-23,-0.46840860378742216
2021-10-27,-0.45045452296733857
2021-10-28,-0.5162996571660042
2021-10-29,-0.44827163362503053
2021-11-04,-0.45006958091259003
2021-11-05,-0.4942326104044914
2021-11-06,-0.42651863116025923
2021-11-11,-0.48668356603384016
2021-11-12,-0.44680775302648545
2021-11-18,-0.592347783267498
2021-11-19,-0.5228587936162948
2021-11-24,-0.5048870341181755
2021-11-25,-0.324747733771801
2021-11-26,-0.4173412820696831
2021-12-11,-0.5774094483852387
2021-12-17,-0.38115079498291016
2021-12-29,-0.6896065901517868
2021-12-30,-0.47633704435825347
2022-01-11,-0.4711520583629608
2022-01-12,-0.39218622159957883
2022-01-13,-0.5243942505121231
2022-01-14,-0.5100623183846473
2022-01-19,-0.6359982748627663
2022-01-20,-0.5727459657788276
2022-01-21,-0.528826678097248
2022-01-22,-0.5111765283346176
2022-02-09,-0.4436175304055214
2022-02-14,-0.6146194205880166
2022-02-15,-0.5761574997901916
2022-02-16,-0.5944424611926079
2022-02-17,-0.4842679988145828
2022-02-18,-0.5168077755570412
2022-03-02,-0.47142715865373613
2022-03-06,-0.5145417818427086
2022-03-07,-0.5679271084070205
2022-03-08,-0.5724478747844696
2022-03-09,-0.4655762723088264
2022-03-10,-0.47440235936641695
2022-03-14,-0.6077083795070648
2022-03-15,-0.5381554032564163
2022-03-16,-0.5188102342486381
2022-03-17,-0.4895346041321754
2022-03-18,-0.5391576154232025
2022-03-19,-0.375274856030941
2022-03-20,-0.5349210758209229
2022-03-21,-0.5425416333675385
2022-03-22,-0.7724285075463444
2022-03-23,-0.5530771825909615
2022-03-24,-0.55428816395998
2022-04-13,-0.5746057593822479
2022-04-14,-0.5644588752985
2022-04-15,-0.46966478621959684
2022-04-16,-0.4754573455452919
2022-04-17,-0.5047547544836998
2022-04-18,-0.4799993788003922
2022-04-19,-0.4177595042586327
2022-04-20,-0.4970137858390808
2022-04-21,-0.5047976693511009
2022-04-22,-0.44773636507987974
2022-04-27,-0.6307721908688545
2022-04-28,-0.5833362855911255
2022-04-29,-0.5706294623017311
2022-04-30,-0.4466488860845566
2022-05-01,-0.5021705510020256
2022-05-02,-0.471775740146637
2022-05-10,-0.6162038097381591
2022-05-11,-0.6431061874628067
2022-05-12,-0.6530495634675026
2022-05-13,-0.6186503427624702
2022-05-22,-0.5685325865745544
2022-05-23,-0.5516773988008499
2022-05-24,-0.5184104362726212
2022-05-25,-0.5816749838590622
2022-05-26,-0.7357890432476998
2022-05-27,-0.6080462011098862
2022-05-28,-0.6173985070586204
2022-05-29,-0.6133856946229934
2022-05-30,-0.7083691887259483
2022-05-31,-0.6878283975720405
2022-06-01,-0.6158244636058807
2022-06-02,-0.5948504284620285
2022-06-03,-0.6332645560503006
2022-06-04,-0.505721433877945
2022-06-14,-0.665216753423214
2022-06-15,-0.7078701454997063
2022-06-17,-0.7398109151721001
2022-06-18,-0.7275996353030205
2022-06-19,-0.7165879284143448
2022-06-23,-0.6201253470182418
2022-06-24,-0.7212241253256798
2022-06-25,-0.6396077127456665
2022-06-26,-0.607334057867527
2022-06-28,-0.6837553389072418
2022-06-29,-0.6831525828242302
2022-07-02,-0.6613008317947388
2022-07-03,-0.6821358957886696
2022-07-11,-0.7713774375915528
2022-07-12,-0.7825913128256797
2022-07-13,-0.7312309541702271
2022-07-14,-0.6696040407419205
2022-07-15,-0.6295768082737923
2022-07-16,-0.6778081990480423
2022-07-17,-0.7108652672171593
2022-08-30,-0.7240318845510483
2022-08-31,-0.721003250181675
2022-09-01,-0.7283811067938805
2022-09-02,-0.725761436522007
2022-09-03,-0.736259785592556
2022-09-04,-0.7735306782722473
2022-09-11,-0.6683082252144813
2022-09-12,-0.6873478164076805
2022-09-13,-0.718625117957592
2022-09-14,-0.6858969038128853
2022-10-09,-0.7189053931236267
2022-10-10,-0.748194795191288
2022-10-11,-0.7415911787152291
2022-10-12,-0.6767817491889
2022-10-13,-0.7037910985946655
2022-10-14,-0.6914402776360512
2022-10-15,-0.7134736222028732
2022-11-07,-0.6624174509644508
2022-11-08,-0.8027401295304298
2022-11-09,-0.6922391178011894
2022-11-10,-0.6655002322793007
2022-11-11,-0.7468047245144844
2022-11-13,-0.7139953964352608
2022-11-14,-0.6611498306393624
2022-11-15,-0.6724053023457527
2022-11-16,-0.7450605770349502
2022-11-20,-0.748580005466938
2022-11-21,-0.6913385787606239
2022-12-24,-0.5674848302602767
2022-12-25,-0.7283125814795494
2022-12-26,-0.7446562541855706
2022-12-27,-0.7460182793736457
2023-01-06,-0.7463722882270813
2023-01-07,-0.7186481043100357
2023-01-08,-0.796005691587925
2023-01-09,-0.7293670200705529
